Team,Owner01,,,Owner02,,,Owner03,,,Owner04,,,Owner05,,,Owner06,,,Owner07,,,Owner08,,,Owner09,,,Owner10,,,Owner11,,,Owner12,,,Owner13,,,Owner14,,
Money Left,$0 ,,,$0 ,,,$0 ,,,$0 ,,,$0 ,,,$0 ,,,$0 ,,,$0 ,,,$0 ,,,$0 ,,,$0 ,,,$0 ,,,$3 ,,,$0 ,,
Max Bid,$1 ,,,$1 ,,,$1 ,,,$1 ,,,$1 ,,,$1 ,,,$1 ,,,$1 ,,,$1 ,,,$1 ,,,$1 ,,,$1 ,,,$4 ,,,$1 ,,
1,$17 ,WR,Calvin Ridley,$4 ,WR,Courtland Sutton,$3 ,RB,Bucky Irving,$9 ,RB,Kyren Williams,$17 ,WR,George Pickens,$2 ,WR,Josh Downs,$62 ,RB,Derrick Henry,$14 ,RB,Chase Brown,$8 ,TE,Brock Bowers,$9 ,WR,Puka Nacua,$17 ,RB,D'Andre Swift,$4 ,WR,Jameson Williams,$8 ,WR,Brian Thomas Jr.,$2 ,RB,Tyrone Tracy Jr.
2,$76 ,RB,Bijan Robinson,$66 ,WR,Justin Jefferson,$50 ,RB,Jonathan Taylor,$16 ,WR,Rashee Rice,$25 ,TE,George Kittle,$13 ,WR,Ricky Pearsall,$49 ,WR,A.J. Brown,$56 ,RB,Ashton Jeanty,$36 ,RB,James Cook,$76 ,WR,Ja'Marr Chase,$28 ,RB,TreVeyon Henderson,$35 ,TE,Trey McBride,$72 ,RB,Saquon Barkley,$66 ,WR,CeeDee Lamb
3,$60 ,RB,Christian McCaffrey,$68 ,WR,Amon-Ra St. Brown,$48 ,WR,Drake London,$69 ,RB,Jahmyr Gibbs,$35 ,QB,Lamar Jackson,$20 ,WR,Jaylen Waddle,$35 ,RB,Breece Hall,$52 ,WR,Nico Collins,$27 ,QB,Joe Burrow,$28 ,RB,Alvin Kamara,$36 ,WR,Marvin Harrison Jr.,$26 ,WR,Tetairoa McMillan,$29 ,WR,Terry McLaurin,$5 ,WR,Jalen Coker
4,$13 ,TE,Travis Kelce,$24 ,RB,James Conner,$52 ,WR,Malik Nabers,$35 ,WR,Jaxon Smith-Njigba,$30 ,WR,Davante Adams,$8 ,WR,Travis Hunter,$6 ,RB,Joe Mixon,$17 ,TE,Sam LaPorta,$35 ,WR,Tyreek Hill,$24 ,QB,Jalen Hurts,$20 ,WR,DeVonta Smith,$26 ,QB,Jayden Daniels,$37 ,RB,Omarion Hampton,$41 ,RB,De'Von Achane
5,$10 ,QB,Patrick Mahomes II,$7 ,RB,Zach Charbonnet,$34 ,QB,Josh Allen,$7 ,QB,Justin Fields,$35 ,WR,Mike Evans,$6 ,QB,Bo Nix,$8 ,WR,Jauan Jennings,$18 ,WR,Rome Odunze,$15 ,WR,Matthew Golden,$28 ,WR,Garrett Wilson,$31 ,WR,DK Metcalf,$46 ,RB,Josh Jacobs,$16 ,WR,Stefon Diggs,$19 ,WR,Zay Flowers
6,$14 ,WR,Deebo Samuel Sr.,$5 ,RB,Bhayshul Tuten,$3 ,DST,Denver Broncos,$22 ,WR,Xavier Worthy,$8 ,RB,Austin Ekeler,$15 ,RB,David Montgomery,$4 ,DST,Baltimore Ravens,$12 ,RB,Jacory Croskey-Merritt,$30 ,WR,Tee Higgins,$8 ,WR,Chris Olave,$3 ,K,Brandon Aubrey,$25 ,RB,RJ Harvey,$3 ,WR,Jayden Higgins,$43 ,WR,Ladd McConkey
7,$1 ,WR,Alec Pierce,$5 ,RB,Najee Harris,$1 ,K,Cameron Dicker,$19 ,RB,Tony Pollard,$11 ,RB,Nick Chubb,$5 ,RB,Tank Bigsby,$3 ,K,Jake Bates,$2 ,RB,Rachaad White,$15 ,RB,Travis Etienne Jr.,$9 ,RB,Jaylen Warren,$27 ,WR,Emeka Egbuka,$5 ,WR,Jerry Jeudy,$9 ,WR,Jakobi Meyers,$2 ,TE,Hunter Henry
8,$1 ,DST,New England Patriots,$1 ,RB,Woody Marks,$1 ,WR,Tre' Harris,$8 ,TE,T.J. Hockenson,$29 ,RB,Aaron Jones Sr.,$6 ,QB,Dak Prescott,$3 ,TE,Jake Ferguson,$12 ,WR,Cooper Kupp,$13 ,WR,DJ Moore,$2 ,WR,Michael Pittman Jr.,$17 ,RB,Kaleb Johnson,$6 ,WR,Jordan Addison,$3 ,QB,Trevor Lawrence,$6 ,RB,Cam Skattebo
9,$1 ,K,Nick Folk,$3 ,TE,Kyle Pitts Sr.,$1 ,WR,DeMario Douglas,$3 ,DST,Philadelphia Eagles,$2 ,DST,Buffalo Bills,$8 ,RB,J.K. Dobbins,$3 ,WR,Keenan Allen,$2 ,QB,Kyler Murray,$14 ,RB,Quinshon Judkins,$4 ,QB,Drake Maye,$12 ,TE,Mark Andrews,$9 ,RB,Jordan Mason,$3 ,TE,Colston Loveland,$2 ,RB,Ray Davis
10,$1 ,RB,Dameon Pierce,$3 ,TE,David Njoku,$1 ,QB,Justin Herbert,$1 ,K,Jake Elliott,$1 ,K,Matt Gay,$21 ,RB,Chuba Hubbard,$5 ,WR,Rashod Bateman,$5 ,RB,Trey Benson,$1 ,RB,Will Shipley,$3 ,RB,Ollie Gordon II,$3 ,QB,Caleb Williams,$4 ,WR,Jayden Reed,$3 ,WR,Rashid Shaheed,$5 ,RB,Jaydon Blue
11,$1 ,RB,Zamir White,$9 ,WR,Marvin Mims Jr.,$1 ,WR,Marquise Brown,$1 ,RB,Chris Rodriguez Jr.,$1 ,RB,Justice Hill,$17 ,RB,Isiah Pacheco,$5 ,QB,Baker Mayfield,$5 ,DST,Houston Texans,$1 ,RB,Roschon Johnson,$4 ,TE,Evan Engram,$1 ,DST,San Francisco 49ers,$8 ,RB,Braelon Allen,$3 ,QB,Jordan Love,$1 ,RB,Dylan Sampson
12,$1 ,QB,Jaxson Dart,$1 ,QB,Jared Goff,$1 ,TE,Brenton Strange,$2 ,WR,Elic Ayomanor,$2 ,RB,Rhamondre Stevenson,$31 ,RB,Kenneth Walker III,$2 ,RB,Kareem Hunt,$1 ,K,Evan McPherson,$1 ,K,Harrison Butker,$1 ,K,Chris Boswell,$1 ,RB,Tyjae Spears,$1 ,RB,Rico Dowdle,$4 ,TE,Tucker Kraft,$3 ,QB,C.J. Stroud
13,$1 ,RB,A.J. Dillon,$1 ,K,Younghoe Koo,$1 ,RB,Emanuel Wilson,$3 ,WR,Luther Burden III,$1 ,RB,Miles Sanders,$7 ,TE,Tyler Warren,$6 ,WR,Khalil Shakir,$1 ,TE,Darren Waller,$1 ,DST,New York Giants,$1 ,DST,Pittsburgh Steelers,$1 ,RB,Isaac Guerendo,$1 ,WR,Kyle Williams,$3 ,RB,Javonte Williams,$1 ,WR,Cedric Tillman
14,$1 ,WR,Greg Dortch,$1 ,DST,Detroit Lions,$1 ,TE,Isaiah Likely,$2 ,WR,Brandon Aiyuk,$1 ,WR,DeAndre Hopkins,$8 ,WR,Keon Coleman,$2 ,RB,Brian Robinson Jr.,$1 ,WR,Tyler Lockett,$1 ,RB,Tahj Brooks,$1 ,RB,Kyle Monangai,$1 ,RB,Brashard Smith,$1 ,DST,Arizona Cardinals,$2 ,DST,Minnesota Vikings,$1 ,QB,Brock Purdy
15,$1 ,TE,Dawson Knox,$1 ,RB,Jerome Ford,$1 ,RB,Trevor Etienne,$2 ,RB,Kendre Miller,$1 ,TE,Mike Gesicki,$4 ,DST,Green Bay Packers,$6 ,WR,Darnell Mooney,$1 ,RB,Jaylen Wright,$1 ,WR,Christian Kirk,$1 ,WR,Tory Horton,$1 ,WR,Romeo Doubs,$2 ,RB,Keaton Mitchell,$1 ,RB,Tyler Allgeier,$1 ,DST,Kansas City Chiefs
16,$1 ,WR,Mack Hollins,$1 ,WR,Jack Bech,$1 ,WR,Kayshon Boutte,$1 ,RB,Blake Corum,$1 ,WR,Chris Godwin Jr.,$29 ,K,Chase McLaughlin,$1 ,RB,Raheem Mostert,$1 ,WR,Quentin Johnston,$1 ,WR,Joshua Palmer,$1 ,TE,Pat Freiermuth,$1 ,WR,Adam Thielen,$1 ,K,Brandon McManus,$1 ,RB,DJ Giddens,$2 ,K,Wil Lutz
Spent,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$197,,,$200,,
Budget,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,,$200,,
Available,$0,,,$0,,,$0,,,$0,,,$0,,,$0,,,$0,,,$0,,,$0,,,$0,,,$0,,,$0,,,$3,,,$0,,
Slots,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0,Selected,Available,0
QB,2,3,,1,3,,2,3,,1,3,,1,3,,2,3,,1,3,,1,3,,1,3,,2,3,,1,3,,1,3,,2,3,,2,3,
RB,5,6,,6,6,,4,6,,6,6,,6,6,,6,6,,6,6,,6,6,,6,6,,4,6,,6,6,,6,6,,5,6,,6,6,
WR,5,6,,5,6,,6,6,,6,6,,5,6,,5,6,,6,6,,5,6,,6,6,,6,6,,6,6,,6,6,,6,6,,5,6,
TE,2,2,,2,2,,2,2,,1,2,,2,2,,1,2,,1,2,,2,2,,1,2,,2,2,,1,2,,1,2,,2,2,,1,2,
DEF,0,2,,0,2,,0,2,,0,2,,0,2,,0,2,,0,2,,0,2,,0,2,,0,2,,0,2,,0,2,,0,2,,0,2,
K,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,1,2,,0,2,,1,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHECK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHECK2,Remaining,Max Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner01,$0,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner02,$0,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner03,$0,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner04,$0,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner05,$0,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner06,$0,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner07,$0,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner08,$0,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner09,$0,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner10,$0,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner11,$0,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner12,$0,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner13,$3,$4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner14,$0,$1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
